Exercise Name,Home Category,Exercise Type,Laterality,Primary Muscles (1.00),Secondary Muscles (0.50),Tertiary Muscles (0.25),Quaternary Muscles (0.125),Fatigue Score,Estimated Recovery Window,Progressive Overload Potential,Stability,Hypertrophy Potential,Stimulus-to-Fatigue Ratio (SFR),Stretch-Mediated Hypertrophy,Resistance Profile,Stability Requirement,Axial Loading,Skill Requirement,Recommended Rest Time,Notes
Seated Dumbbell Overhead Press,Shoulders,Compound,Bilateral,Front Delts,"Side Delts, Upper Chest",Triceps,,3,48 hours,High,Moderate,Excellent,Good,No,Ascending,Free Weight,Yes,Moderate,3-5 minutes,
Standing Dumbbell Overhead Press,Shoulders,Compound,Bilateral,Front Delts,"Side Delts, Upper Chest","Triceps, Rectus Abdominis",,4,48-72 hours,High,Low,Good,Moderate,No,Ascending,Free Weight,Yes,High,3-5 minutes,
Seated Dumbbell Overhead Press (Neutral Grip),Shoulders,Compound,Bilateral,Front Delts,Triceps,Upper Chest,,3,48 hours,High,Moderate,Good,Good,No,Ascending,Free Weight,Yes,Moderate,3-5 minutes,
Standing Barbell Overhead Press,Shoulders,Compound,Bilateral,Front Delts,"Upper Chest, Triceps","Side Delts, Rectus Abdominis",,4,48-72 hours,Very High,Low,Good,Moderate,No,Ascending,Free Weight,Yes,High,3-5 minutes,
Seated Barbell Overhead Press,Shoulders,Compound,Bilateral,Front Delts,"Upper Chest, Triceps",Side Delts,,3,48 hours,Very High,Moderate,Excellent,Good,No,Ascending,Free Weight,Yes,Moderate,3-5 minutes,
Seated Barbell Behind The Neck Press,Shoulders,Compound,Bilateral,"Front Delts, Side Delts",Triceps,Upper Traps,,3,48 hours,High,Moderate,Good,Moderate,No,Ascending,Free Weight,Yes,High,3-5 minutes,Requires good shoulder mobility
Standing Barbell Behind The Neck Press,Shoulders,Compound,Bilateral,"Front Delts, Side Delts",Triceps,"Upper Traps, Rectus Abdominis",,4,48-72 hours,High,Low,Good,Low,No,Ascending,Free Weight,Yes,Very High,3-5 minutes,High mobility requirement
Standing Landmine Press,Shoulders,Compound,Unilateral,"Front Delts, Upper Chest",Triceps,Rectus Abdominis,,2,24-48 hours,High,Moderate,Good,Good,No,Balanced,Free Weight,No,Moderate,2-3 minutes,
Half-Kneeling Landmine Press,Shoulders,Compound,Unilateral,"Front Delts, Upper Chest",Triceps,Rectus Abdominis,,2,24-48 hours,High,Stable,Excellent,Excellent,No,Balanced,Free Weight,No,Low,2-3 minutes,Excellent for strict tension
Machine Overhead Press (Wide Grip),Shoulders,Compound,Bilateral,"Front Delts, Side Delts",Triceps,Upper Chest,,2,48 hours,High,Very Stable,Excellent,Excellent,No,Balanced,Machine,No,Low,3-4 minutes,Allows pushing closer to failure safely
Machine Overhead Press (Narrow Grip),Shoulders,Compound,Bilateral,Front Delts,Triceps,Upper Chest,,2,48 hours,High,Very Stable,Excellent,Excellent,No,Balanced,Machine,No,Low,3-4 minutes,Allows pushing closer to failure safely
Banded Seated Overhead Press,Shoulders,Compound,Bilateral,Front Delts,"Side Delts, Triceps",Upper Chest,,2,24-48 hours,Low,Moderate,Moderate,Moderate,No,Ascending,Resistance Band,No,Low,2-3 minutes,
Banded Upright Row,Shoulders,Compound,Bilateral,Side Delts,Upper Traps,Front Delts,,1,24 hours,Low,Moderate,Moderate,Moderate,No,Ascending,Resistance Band,No,Low,2-3 minutes,
Standing Dumbbell Front Raise,Shoulders,Isolation,Bilateral,Front Delts,Upper Chest,,,1,24 hours,Moderate,Moderate,Good,Good,No,Descending,Free Weight,No,Low,2-3 minutes,
