Exercise Name,Home Category,Exercise Type,Laterality,Primary Muscles (1.00),Secondary Muscles (0.50),Tertiary Muscles (0.25),Quaternary Muscles (0.125),Fatigue Score,Estimated Recovery Window,Progressive Overload Potential,Stability,Hypertrophy Potential,Stimulus-to-Fatigue Ratio (SFR),Stretch-Mediated Hypertrophy,Resistance Profile,Stability Requirement,Axial Loading,Skill Requirement,Recommended Rest Time,Notes,Video URL,Thumbnail
Dragon Flag,Core,Isolation,Bilateral,Rectus Abdominis,Hip Flexors,Obliques,,2,24-48 hours,Low,Moderate,Moderate,Good,No,Balanced,Bodyweight,No,Very High,2 minutes,,,
Decline Crunches,Core,Isolation,Bilateral,Rectus Abdominis,Obliques,Hip Flexors,,1,24-48 hours,Moderate,Moderate,High,Good,No,Balanced,Free Weight,No,Moderate,2 minutes,,,
Crunch Machine,Core,Isolation,Bilateral,Rectus Abdominis,Obliques,Transverse Abdominis,,1,24-48 hours,High,Very Stable,Excellent,Excellent,No,Balanced,Machine,No,Moderate,2 minutes,,,
Russian Twist,Core,Isolation,Bilateral,Obliques,Rectus Abdominis,,,1,24-48 hours,Low,Moderate,Moderate,Good,No,Balanced,Free Weight,No,Low,2 minutes,"Can be weighted. Focus on torso rotation, not just moving the hands.",,
Decline Russian Twist,Core,Isolation,Bilateral,Obliques,Rectus Abdominis,,,2,24-48 hours,Moderate,Stable,High,Excellent,Partial,Balanced,Free Weight,No,Moderate,2 minutes,Decline bench increases mechanical tension on the rectus abdominis while twisting.,,
Hanging Knee Raise,Core,Isolation,Bilateral,Rectus Abdominis,Hip Flexors,,,2,24-48 hours,Moderate,Unstable,High,Good,Yes,Shortened Bias,Free Weight,No,Moderate,2 minutes,Focus on posterior pelvic tilt (curling the pelvis up) rather than just flexing the hips.,,
Toes to Bar,Core,Isolation,Bilateral,Rectus Abdominis,Hip Flexors,Lats,,3,24-48 hours,Low,Unstable,High,Average,Yes,Balanced,Bodyweight,No,High,2-3 minutes,Requires lat strength to stabilize the swing. Great deep stretch for the lower abs.,,
Kneeling Cable Crunch,Core,Isolation,Bilateral,Rectus Abdominis,Obliques,Transverse Abdominis,,1,24-48 hours,Moderate,Stable,High,Excellent,No,Balanced,Cable,No,Moderate,2 minutes,,,
Cable Obliques,Core,Isolation,Unilateral,Obliques,Rectus Abdominis,Transverse Abdominis,,1,24-48 hours,Moderate,Stable,High,Excellent,No,Balanced,Cable,No,Moderate,2-3 minutes,,,
Leg Raises,Core,Isolation,Bilateral,Hip Flexors,Rectus Abdominis,Obliques,,1,24-48 hours,Moderate,Moderate,High,Good,No,Shortened Bias,Free Weight,No,Low,2 minutes,,,
