Exercise Name,Home Category,Exercise Type,Laterality,Primary Muscles (1.00),Secondary Muscles (0.50),Tertiary Muscles (0.25),Quaternary Muscles (0.125),Fatigue Score,Estimated Recovery Window,Progressive Overload Potential,Stability,Hypertrophy Potential,Stimulus-to-Fatigue Ratio (SFR),Stretch-Mediated Hypertrophy,Resistance Profile,Stability Requirement,Axial Loading,Skill Requirement,Recommended Rest Time,Notes,Video URL,Thumbnail
Barbell JM Press,Arms,Compound,Bilateral,"Long Head Triceps, Lateral Head Triceps, Medial Head Triceps",Middle Chest,Front Delts,,2,24-48 hours,Very High,Moderate,High,Good,No,Balanced,Free Weight,No,Moderate,3.5-5 minutes,,,
Triceps Dips,Arms,Compound,Bilateral,"Long Head Triceps, Lateral Head Triceps, Medial Head Triceps",Middle Chest,Front Delts,,2,24-48 hours,Moderate,Moderate,High,Good,No,Balanced,Free Weight,No,Moderate,3.5-5 minutes,,,
Triceps Dip Machine,Arms,Compound,Bilateral,"Long Head Triceps, Lateral Head Triceps, Medial Head Triceps",Middle Chest,Front Delts,,1,24-48 hours,High,Very Stable,Excellent,Excellent,No,Balanced,Machine,No,Moderate,3-4 minutes,,,
Assisted Triceps Dips,Arms,Compound,Bilateral,"Long Head Triceps, Lateral Head Triceps, Medial Head Triceps",Middle Chest,Front Delts,,2,24-48 hours,Moderate,Moderate,High,Good,No,Balanced,Free Weight,No,Moderate,3.5-5 minutes,,,
Dumbbell Skull Crusher,Arms,Compound,Can Be Both,"Long Head Triceps, Lateral Head Triceps, Medial Head Triceps",,,,1,24-48 hours,Moderate,Moderate,High,Excellent,Yes,Balanced,Free Weight,No,Moderate,2-3 minutes,,,
Push-down,Arms,Isolation,Bilateral,"Long Head Triceps, Lateral Head Triceps, Medial Head Triceps",,,,1,24-48 hours,Moderate,Stable,High,Excellent,No,Balanced,Cable,No,Moderate,2-3 minutes,,,
Cable Rope Overhead Triceps Extension,Arms,Isolation,Bilateral,"Long Head Triceps, Lateral Head Triceps, Medial Head Triceps",,,,1,24-48 hours,Moderate,Stable,High,Excellent,Yes,Balanced,Cable,No,Low,2-3 minutes,,,
Lying Barbell Triceps Extension,Arms,Isolation,Bilateral,"Long Head Triceps, Lateral Head Triceps, Medial Head Triceps",,,,1,24-48 hours,Very High,Stable,High,Good,No,Balanced,Free Weight,No,Low,2-3 minutes,,,
Lever Triceps Extension,Arms,Isolation,Bilateral,"Long Head Triceps, Lateral Head Triceps, Medial Head Triceps",,,,1,24-48 hours,High,Very Stable,Excellent,Excellent,No,Balanced,Machine,No,Low,2-3 minutes,,,
Seated EZ-Bar Overhead Triceps Extension,Arms,Isolation,Bilateral,"Long Head Triceps, Lateral Head Triceps, Medial Head Triceps",,,,1,24-48 hours,Moderate,Stable,High,Excellent,Yes,Lengthened Bias,Free Weight,No,Low,2-3 minutes,,,
Barbell Lying Back of the Head Tricep Extension,Arms,Isolation,Bilateral,"Long Head Triceps, Lateral Head Triceps, Medial Head Triceps",,,,1,24-48 hours,Very High,Stable,High,Good,No,Balanced,Free Weight,No,Low,2-3 minutes,,,
Barbell Curl,Arms,Isolation,Bilateral,Biceps,Brachioradialis,,,1,24-48 hours,Very High,Moderate,High,Good,Partial,Balanced,Free Weight,No,Low,2-3 minutes,,,
EZ Bar Preacher Curl,Arms,Isolation,Bilateral,Biceps,Brachioradialis,,,1,24-48 hours,Moderate,Moderate,High,Excellent,Partial,Lengthened Bias,Free Weight,No,Low,2-3 minutes,,,
Hammer Curl,Arms,Isolation,Bilateral,Brachialis,Biceps,Brachioradialis,,1,24-48 hours,Moderate,Moderate,High,Good,Partial,Balanced,Free Weight,No,Low,2-3 minutes,,,
Lever Preacher Curl,Arms,Isolation,Bilateral,Biceps,Brachioradialis,,,1,24-48 hours,High,Very Stable,Excellent,Excellent,Partial,Lengthened Bias,Machine,No,Low,2-3 minutes,,,
Prone Incline Barbell Curl (Spider Curl),Arms,Isolation,Bilateral,Biceps,Brachioradialis,,,1,24-48 hours,Very High,Stable,High,Good,Partial,Balanced,Free Weight,No,Low,2-3 minutes,,,
Cable Rope Hammer Curl,Arms,Isolation,Bilateral,Brachialis,Biceps,Brachioradialis,,1,24-48 hours,Moderate,Stable,High,Excellent,Partial,Balanced,Cable,No,Low,2-3 minutes,,,
Lever Biceps Curl,Arms,Isolation,Bilateral,Biceps,Brachioradialis,,,1,24-48 hours,High,Very Stable,Excellent,Excellent,Partial,Balanced,Machine,No,Low,2-3 minutes,,,
Two Dumbbell Preacher Curl,Arms,Isolation,Bilateral,Biceps,Brachioradialis,,,1,24-48 hours,Low,Moderate,High,Excellent,Partial,Lengthened Bias,Free Weight,No,Low,2-3 minutes,,,
Z-Bar Curl,Arms,Isolation,Bilateral,Biceps,Brachioradialis,,,1,24-48 hours,Moderate,Moderate,High,Good,Partial,Balanced,Free Weight,No,Low,2-3 minutes,,,
Seated Dumbbell Triceps Extension,Arms,Isolation,Can Be Both,"Long Head Triceps, Lateral Head Triceps, Medial Head Triceps",,,,1,24-48 hours,Moderate,Stable,High,Good,No,Balanced,Free Weight,No,Low,2-3 minutes,,,
Dumbbell Curl,Arms,Isolation,Can Be Both,Biceps,Brachioradialis,,,1,24-48 hours,Low,Moderate,High,Good,Partial,Balanced,Free Weight,No,Low,2-3 minutes,,,
Dumbbell Preacher Curl,Arms,Isolation,Can Be Both,Biceps,Brachioradialis,,,1,24-48 hours,Low,Moderate,High,Excellent,Partial,Lengthened Bias,Free Weight,No,Low,2-3 minutes,,,
Seated Incline Dumbbell Curl,Arms,Isolation,Can Be Both,Biceps,Brachioradialis,,,1,24-48 hours,Low,Stable,High,Excellent,Yes,Balanced,Free Weight,No,Low,2-3 minutes,,,
Lying Cable Curl,Arms,Isolation,Can Be Both,Biceps,Brachioradialis,,,1,24-48 hours,Moderate,Stable,High,Excellent,Partial,Balanced,Cable,No,Low,2-3 minutes,,,
Cable Curl,Arms,Isolation,Can Be Both,Biceps,Brachioradialis,,,1,24-48 hours,Moderate,Stable,High,Excellent,Partial,Balanced,Cable,No,Low,2-3 minutes,,,
Seated One-Arm Dumbbell Triceps Extension,Arms,Isolation,Unilateral,"Long Head Triceps, Lateral Head Triceps, Medial Head Triceps",,,,1,24-48 hours,Moderate,Stable,High,Good,No,Balanced,Free Weight,No,Low,2-3 minutes,,,
Cable One-Arm Overhead Triceps Extension,Arms,Isolation,Unilateral,"Long Head Triceps, Lateral Head Triceps, Medial Head Triceps",,,,1,24-48 hours,Moderate,Stable,High,Excellent,Yes,Balanced,Cable,No,Low,2-3 minutes,,,
One Arm Cable Curl,Arms,Isolation,Unilateral,Biceps,Brachioradialis,,,1,24-48 hours,Moderate,Stable,High,Excellent,Partial,Balanced,Cable,No,Low,2-3 minutes,,,
EZ Bar Skull Crusher,Arms,Compound,Bilateral,"Long Head Triceps, Lateral Head Triceps, Medial Head Triceps",,,,1,24-48 hours,Moderate,Moderate,High,Excellent,Yes,Balanced,Free Weight,No,Moderate,2-3 minutes,,,
H Bar Skull Crusher,Arms,Isolation,Bilateral,Triceps,,,,2,24-48 hours,High,Stable,Excellent,Excellent,Yes,Balanced,Free Weight,No,Moderate,2-3 minutes,,,
H Bar Skull Crusher Behind Head,Arms,Isolation,Bilateral,Triceps,Triceps,,,2,24-48 hours,High,Stable,Excellent,Excellent,Yes,Balanced,Free Weight,No,Moderate,2-3 minutes,,,
Seated EZ Bar Overhead Tricep Extensions,Arms,Isolation,Bilateral,Triceps,Triceps,,,2,24-48 hours,High,Stable,Excellent,Excellent,Yes,Lengthened Bias,Free Weight,No,Moderate,2-3 minutes,,,
Standing EZ Bar Overhead Tricep Extensions,Arms,Isolation,Bilateral,Triceps,Triceps,,,2,24-48 hours,High,Moderate,Excellent,Excellent,Yes,Lengthened Bias,Free Weight,No,Moderate,2-3 minutes,,,
Triceps Press Machine,Arms,Compound,Bilateral,Triceps,"Middle Chest, Front Delts",,,2,24-48 hours,High,Very Stable,Excellent,Excellent,No,Balanced,Machine,No,Low,2-3 minutes,,,
Bench Dips,Arms,Compound,Bilateral,Triceps,"Middle Chest, Front Delts",,,2,24-48 hours,Moderate,Moderate,High,Average,No,Balanced,Bodyweight,No,Moderate,2-3 minutes,,,
Seated Overhead Tricep Extensions With Bands,Arms,Isolation,Bilateral,Triceps,Triceps,,,2,24-48 hours,Low,Stable,Moderate,Good,Yes,Lengthened Bias,Resistance Band,No,Low,2-3 minutes,,,
TRX Tricep Extension,Arms,Isolation,Bilateral,Triceps,Rectus Abdominis,,,1,24-48 hours,Low,Moderate,High,Average,No,Balanced,Bodyweight,No,Moderate,2-3 minutes,,,
Dumbbell Tricep Kick Back Incline Prone,Arms,Isolation,Bilateral,Triceps,,,,1,24-48 hours,Moderate,Stable,Moderate,Average,Yes,Shortened Bias,Free Weight,No,Low,2-3 minutes,,,
Prone Tricep Kick Back Single Arm,Arms,Isolation,Unilateral,Triceps,,,,1,24-48 hours,Moderate,Stable,Moderate,Average,Yes,Shortened Bias,Free Weight,No,Low,2-3 minutes,,,
Dumbbell Hammer Preacher Curl,Arms,Isolation,Can Be Both,"Brachialis, Brachioradialis",Biceps,,,1,24-48 hours,High,Very Stable,Excellent,Excellent,No,Balanced,Free Weight,No,Low,2-3 minutes,,,
H Bar Preacher Curl,Arms,Isolation,Bilateral,Biceps,Brachialis,,,1,24-48 hours,High,Very Stable,Excellent,Excellent,No,Balanced,Free Weight,No,Low,2-3 minutes,,,
Overhand Grip Straight Bar Preacher Curl,Arms,Isolation,Bilateral,"Brachialis, Brachioradialis",Brachioradialis,,,1,24-48 hours,Moderate,Very Stable,High,Good,No,Balanced,Free Weight,No,Low,2-3 minutes,,,
Reverse Grip Bicep Curl With Bands,Arms,Isolation,Bilateral,"Brachioradialis, Brachialis",Biceps,,,1,24-48 hours,Low,Moderate,Moderate,Good,No,Balanced,Resistance Band,No,Low,2-3 minutes,,,
TRX Bicep Curl,Arms,Isolation,Bilateral,Biceps,Brachialis,Brachioradialis,,1,24-48 hours,Low,Moderate,Moderate,Good,No,Balanced,Bodyweight,No,Moderate,2-3 minutes,,,
Towel Bicep Curl,Arms,Isolation,Bilateral,Biceps,Wrist Flexors,,,1,24-48 hours,Moderate,Moderate,High,Average,No,Balanced,Free Weight,No,Moderate,2-3 minutes,,,
Preacher Curl Machine,Arms,Isolation,Can Be Both,Biceps,Brachialis,,,1,24-48 hours,High,Very Stable,Excellent,Excellent,No,Balanced,Machine,No,Low,2-3 minutes,,,
