Exercise Name,Home Category,Exercise Type,Laterality,Primary Muscles (1.00),Secondary Muscles (0.50),Tertiary Muscles (0.25),Quaternary Muscles (0.125),Fatigue Score,Estimated Recovery Window,Progressive Overload Potential,Stability,Hypertrophy Potential,Stimulus-to-Fatigue Ratio (SFR),Stretch-Mediated Hypertrophy,Resistance Profile,Stability Requirement,Axial Loading,Skill Requirement,Recommended Rest Time,Notes,Video URL,Thumbnail
Pull-Up,Back,Compound,Bilateral,Lats,Biceps,Rear Delts,,3,48-72 hours,Moderate,Moderate,High,Average,Partial,Balanced,Free Weight,No,Moderate,3.5-5 minutes,Grip width and torso angle dictate Lat vs Upper Back involvement.,,
Weighted Pull-Up,Back,Compound,Bilateral,Lats,Biceps,Rear Delts,,3,48-72 hours,Moderate,Moderate,High,Average,Partial,Balanced,Free Weight,No,Moderate,3.5-5 minutes,Grip width and torso angle dictate Lat vs Upper Back involvement.,,
Reverse Grip Pull-Up,Back,Compound,Bilateral,Lats,Biceps,Rear Delts,,3,48-72 hours,Moderate,Moderate,High,Average,Partial,Balanced,Free Weight,No,Moderate,3.5-5 minutes,Grip width and torso angle dictate Lat vs Upper Back involvement.,,
Chin-Up,Back,Compound,Bilateral,Lats,Biceps,Rear Delts,,3,48-72 hours,Moderate,Moderate,High,Average,No,Balanced,Free Weight,No,Moderate,3.5-5 minutes,,,
Close Grip Chin-Up,Back,Compound,Bilateral,Lats,Biceps,Rear Delts,,3,48-72 hours,Moderate,Moderate,High,Average,No,Balanced,Free Weight,No,Moderate,3.5-5 minutes,,,
Lat Pulldown,Back,Compound,Bilateral,Lats,Biceps,Rear Delts,,3,48-72 hours,High,Moderate,High,Good,No,Balanced,Machine,No,Moderate,3.5-5 minutes,Grip width and torso angle dictate Lat vs Upper Back involvement.,,
Seated Row Machine,Back,Compound,Bilateral,Mid Back,Biceps,"Rear Delts, Upper Traps",,3,36-60 hours,High,Very Stable,Excellent,Good,Partial,Balanced,Machine,No,Moderate,3-4 minutes,"Elbow flare determines bias: tucked = Lats, flared = Upper Back/Rear Delts.",,
Barbell Bent Over Row,Back,Compound,Bilateral,Mid Back,Lats,"Rear Delts, Upper Traps",,3,48-72 hours,Very High,Moderate,High,Average,Partial,Shortened Bias,Free Weight,No,Moderate,3.5-5 minutes,"Elbow flare determines bias: tucked = Lats, flared = Upper Back/Rear Delts.",,
Chest Supported T-Bar Row,Back,Compound,Bilateral,Mid Back,Lats,"Rear Delts, Upper Traps",,3,48-72 hours,High,Stable,Excellent,Average,Partial,Shortened Bias,Free Weight,No,Moderate,3.5-5 minutes,"Elbow flare determines bias: tucked = Lats, flared = Upper Back/Rear Delts.",,
Deadlift,Back,Compound,Bilateral,Full Back,"Glute Max, Hamstrings",Upper Traps,,5,72-120 hours,Very High,Moderate,High,Poor,No,Balanced,Free Weight,Yes,High,4-7 minutes,,,
