Exercise Name,Home Category,Exercise Type,Laterality,Primary Muscles (1.00),Secondary Muscles (0.50),Tertiary Muscles (0.25),Quaternary Muscles (0.125),Fatigue Score,Estimated Recovery Window,Progressive Overload Potential,Stability,Hypertrophy Potential,Stimulus-to-Fatigue Ratio (SFR),Stretch-Mediated Hypertrophy,Resistance Profile,Stability Requirement,Axial Loading,Skill Requirement,Recommended Rest Time,Notes
H Bar Skull Crusher,Arms,Isolation,Bilateral,Triceps,,,,,2,24-48 hours,High,Stable,Excellent,Excellent,Yes,Descending,Free Weight,No,Moderate,2-3 minutes,
H Bar Skull Crusher, Behind Head,Arms,Isolation,Bilateral,Long Head Triceps,"Lateral/Medial Triceps",,,2,24-48 hours,High,Stable,Excellent,Excellent,Yes,Descending,Free Weight,No,Moderate,2-3 minutes,
Seated EZ Bar Overhead Tricep Extensions,Arms,Isolation,Bilateral,Long Head Triceps,"Lateral/Medial Triceps",,,2,48 hours,High,Stable,Excellent,Excellent,Yes,Ascending,Free Weight,No,Moderate,2-3 minutes,
Standing EZ Bar Overhead Tricep Extensions,Arms,Isolation,Bilateral,Long Head Triceps,"Lateral/Medial Triceps",,,2,48 hours,High,Moderate,Excellent,Excellent,Yes,Ascending,Free Weight,No,Moderate,2-3 minutes,
Triceps Press Machine,Arms,Compound,Bilateral,Triceps,"Chest, Front Delts",,,2,48 hours,High,Very Stable,Excellent,Excellent,No,Balanced,Machine,No,Low,2-3 minutes,
Bench Dips,Arms,Compound,Bilateral,Triceps,"Middle Chest, Front Delts",,,2,24-48 hours,Moderate,Moderate,Good,Moderate,No,Ascending,Bodyweight,No,Moderate,2-3 minutes,
Seated Overhead Tricep Extensions, With Bands,Arms,Isolation,Bilateral,Long Head Triceps,"Lateral/Medial Triceps",,,1,24 hours,Low,Stable,Moderate,Good,Yes,Ascending,Resistance Band,No,Low,2-3 minutes,
TRX Tricep Extension,Arms,Isolation,Bilateral,Triceps,,Core,,2,24-48 hours,Low,Moderate,Good,Moderate,No,Ascending,Bodyweight,No,Moderate,2-3 minutes,
Dumbbell Tricep Kick Back, Incline Prone,Arms,Isolation,Bilateral,Triceps,,,,1,24 hours,Moderate,Stable,Moderate,Moderate,Yes,Descending,Free Weight,No,Low,2-3 minutes,
Prone Tricep Kick Back, Single Arm,Arms,Isolation,Unilateral,Triceps,,,,1,24 hours,Moderate,Stable,Moderate,Moderate,Yes,Descending,Free Weight,No,Low,2-3 minutes,
Dumbbell Hammer Preacher Curl,Arms,Isolation,Bilateral,"Brachialis, Brachioradialis",Biceps,,,2,24-48 hours,High,Very Stable,Excellent,Excellent,No,Balanced,Free Weight,No,Low,2-3 minutes,
H Bar Preacher Curl,Arms,Isolation,Bilateral,Biceps,Brachialis,,,2,24-48 hours,High,Very Stable,Excellent,Excellent,No,Balanced,Free Weight,No,Low,2-3 minutes,
Overhand Grip Straight Bar Preacher Curl,Arms,Isolation,Bilateral,"Brachialis, Brachioradialis",Forearms,,,2,24-48 hours,Moderate,Very Stable,Good,Good,No,Balanced,Free Weight,No,Low,2-3 minutes,
Reverse Grip Bicep Curl With Bands,Arms,Isolation,Bilateral,"Brachioradialis, Brachialis",Biceps,,,1,24 hours,Low,Moderate,Moderate,Good,No,Ascending,Resistance Band,No,Low,2-3 minutes,
TRX Bicep Curl,Arms,Isolation,Bilateral,Biceps,Brachialis,Forearms,,2,24-48 hours,Low,Moderate,Moderate,Good,No,Ascending,Bodyweight,No,Moderate,2-3 minutes,
Towel Bicep Curl,Arms,Isolation,Bilateral,Biceps,"Forearms (Grip)",,,2,24-48 hours,Moderate,Moderate,Good,Moderate,No,Ascending,Free Weight,No,Moderate,2-3 minutes,
Preacher Curl Machine,Arms,Isolation,Bilateral,Biceps,Brachialis,,,1,24-48 hours,High,Very Stable,Excellent,Excellent,No,Balanced,Machine,No,Low,2-3 minutes,
Preacher Curl Machine, Single Arm,Arms,Isolation,Unilateral,Biceps,Brachialis,,,1,24-48 hours,High,Very Stable,Excellent,Excellent,No,Balanced,Machine,No,Low,2-3 minutes,
Bicep Curl With Bands,Arms,Isolation,Bilateral,Biceps,Brachialis,,,1,24 hours,Low,Moderate,Moderate,Good,No,Ascending,Resistance Band,No,Low,2-3 minutes,
Dumbbell Hammer Preacher Curl, Single Arm,Arms,Isolation,Unilateral,"Brachialis, Brachioradialis",Biceps,,,2,24-48 hours,High,Very Stable,Excellent,Excellent,No,Balanced,Free Weight,No,Low,2-3 minutes,
Concentration Curl,Arms,Isolation,Unilateral,Biceps,Brachialis,,,1,24 hours,Moderate,Stable,Excellent,Excellent,No,Balanced,Free Weight,No,Low,2-3 minutes,
