Exercise Name,Home Category,Exercise Type,Laterality,Primary Muscles (1.00),Secondary Muscles (0.50),Tertiary Muscles (0.25),Quaternary Muscles (0.125),Fatigue Score,Estimated Recovery Window,Progressive Overload Potential,Stability,Hypertrophy Potential,Stimulus-to-Fatigue Ratio (SFR),Stretch-Mediated Hypertrophy,Resistance Profile,Stability Requirement,Axial Loading,Skill Requirement,Recommended Rest Time,Notes,Video URL,Thumbnail
Seated Barbell Shoulder Press,Shoulders,Compound,Bilateral,Front Delts,Side Delts,"Long Head Triceps, Lateral Head Triceps, Medial Head Triceps",,3,48-72 hours,Very High,Stable,High,Average,No,Balanced,Free Weight,No,Moderate,3.5-5 minutes,,,
Smith Machine Behind The Neck Press,Shoulders,Compound,Bilateral,Side Delts,Front Delts,"Long Head Triceps, Lateral Head Triceps, Medial Head Triceps",,3,36-60 hours,Very High,Very Stable,Excellent,Good,No,Balanced,Machine,No,Moderate,3-4 minutes,,,
Smith Machine Shoulder Press,Shoulders,Compound,Bilateral,Front Delts,Side Delts,"Long Head Triceps, Lateral Head Triceps, Medial Head Triceps",,3,36-60 hours,Very High,Very Stable,Excellent,Good,No,Balanced,Machine,No,Moderate,3-4 minutes,,,
Lever Shoulder Press,Shoulders,Compound,Bilateral,Front Delts,Side Delts,"Long Head Triceps, Lateral Head Triceps, Medial Head Triceps",,3,36-60 hours,High,Very Stable,Excellent,Good,No,Balanced,Machine,No,Moderate,3-4 minutes,,,
Face Pull,Shoulders,Isolation,Bilateral,Rear Delts,Upper Traps,Rotator Cuff,,2,24-48 hours,Moderate,Stable,Low,Good,No,Balanced,Cable,No,Moderate,2 minutes,,,
Dumbbell Shoulder Press,Shoulders,Compound,Can Be Both,Front Delts,Side Delts,"Long Head Triceps, Lateral Head Triceps, Medial Head Triceps",,3,48-72 hours,High,Moderate,High,Average,No,Balanced,Free Weight,No,Moderate,3.5-5 minutes,,,
Dumbbell Chest Supported Lateral Raise,Shoulders,Isolation,Bilateral,Side Delts,Rear Delts,Upper Traps,,1,24-48 hours,Low,Stable,Excellent,Good,Partial,Shortened Bias,Free Weight,No,Low,2-3 minutes,Lean slightly forward to better align Side Delts against gravity.,,
Two Arm Cable Front Raise,Shoulders,Isolation,Bilateral,Front Delts,Side Delts,Upper Traps,,1,24-48 hours,Moderate,Stable,High,Excellent,No,Balanced,Cable,No,Low,2-3 minutes,,,
Two Arm Dumbbell Front Raise,Shoulders,Isolation,Bilateral,Front Delts,Side Delts,Upper Traps,,1,24-48 hours,Low,Moderate,High,Good,No,Shortened Bias,Free Weight,No,Low,2-3 minutes,,,
Rear Delt Fly Machine,Shoulders,Isolation,Bilateral,Rear Delts,Side Delts,Upper Traps,,1,24-48 hours,High,Very Stable,Excellent,Excellent,No,Balanced,Machine,No,Moderate,2-3 minutes,,,
Barbell Front Raise,Shoulders,Isolation,Bilateral,Front Delts,Side Delts,Upper Traps,,1,24-48 hours,Very High,Moderate,High,Good,No,Shortened Bias,Free Weight,No,Low,2-3 minutes,,,
Cable Lateral Raise,Shoulders,Isolation,Can Be Both,Side Delts,Upper Traps,Rear Delts,,1,24-48 hours,Moderate,Stable,High,Excellent,Partial,Balanced,Cable,No,Low,2-3 minutes,Lean slightly forward to better align Side Delts against gravity.,,
Seated Rear Lateral Dumbbell Raise,Shoulders,Isolation,Can Be Both,Rear Delts,Side Delts,Upper Traps,,1,24-48 hours,Low,Stable,High,Good,No,Shortened Bias,Free Weight,No,Low,2-3 minutes,,,
Seated Dumbbell Lateral Raise,Shoulders,Isolation,Can Be Both,Side Delts,Upper Traps,Rear Delts,,1,24-48 hours,Low,Stable,High,Good,Partial,Shortened Bias,Free Weight,No,Low,2-3 minutes,Lean slightly forward to better align Side Delts against gravity.,,
Cable Rear Delt Fly,Shoulders,Isolation,Can Be Both,Rear Delts,Side Delts,Upper Traps,,1,24-48 hours,Moderate,Stable,High,Excellent,No,Balanced,Cable,No,Moderate,2-3 minutes,,,
Incline Dumbbell Side Lateral Raise,Shoulders,Isolation,Unilateral,Side Delts,Rear Delts,Upper Traps,,1,24-48 hours,Low,Moderate,High,Good,Partial,Shortened Bias,Free Weight,No,Low,2-3 minutes,Lean slightly forward to better align Side Delts against gravity.,,
Seated Dumbbell Overhead Press,Shoulders,Compound,Bilateral,Front Delts,"Side Delts, Upper Chest",Triceps,,4,48-72 hours,High,Moderate,Excellent,Good,No,Balanced,Free Weight,Yes,Moderate,4-6 minutes,,,
Standing Dumbbell Overhead Press,Shoulders,Compound,Bilateral,Front Delts,"Side Delts, Upper Chest","Triceps, Rectus Abdominis",,4,48-72 hours,High,Unstable,High,Average,No,Balanced,Free Weight,Yes,High,4-6 minutes,,,
Seated Dumbbell Overhead Press (Neutral Grip),Shoulders,Compound,Bilateral,Front Delts,Triceps,Upper Chest,,4,48-72 hours,High,Moderate,High,Good,No,Balanced,Free Weight,Yes,Moderate,4-6 minutes,,,
Standing Barbell Overhead Press,Shoulders,Compound,Bilateral,Front Delts,"Upper Chest, Triceps","Side Delts, Rectus Abdominis",,4,48-72 hours,Very High,Unstable,High,Average,No,Balanced,Free Weight,Yes,High,4-6 minutes,,,
Seated Barbell Overhead Press,Shoulders,Compound,Bilateral,Front Delts,"Upper Chest, Triceps",Side Delts,,4,48-72 hours,Very High,Moderate,Excellent,Good,No,Balanced,Free Weight,Yes,Moderate,4-6 minutes,,,
Seated Barbell Behind The Neck Press,Shoulders,Compound,Bilateral,"Front Delts, Side Delts",Triceps,Upper Traps,,4,48-72 hours,High,Moderate,High,Average,No,Balanced,Free Weight,Yes,High,4-6 minutes,Requires good shoulder mobility,,
Standing Barbell Behind The Neck Press,Shoulders,Compound,Bilateral,"Front Delts, Side Delts",Triceps,"Upper Traps, Rectus Abdominis",,4,48-72 hours,High,Unstable,High,Poor,No,Balanced,Free Weight,Yes,Very High,4-6 minutes,High mobility requirement,,
Standing Landmine Press,Shoulders,Compound,Unilateral,"Front Delts, Upper Chest",Triceps,Rectus Abdominis,,2,24-48 hours,High,Moderate,High,Good,No,Balanced,Free Weight,No,Moderate,2-3 minutes,,,
Half-Kneeling Landmine Press,Shoulders,Compound,Unilateral,"Front Delts, Upper Chest",Triceps,Rectus Abdominis,,2,24-48 hours,High,Stable,Excellent,Excellent,No,Balanced,Free Weight,No,Low,2-3 minutes,Excellent for strict tension,,
Machine Overhead Press (Wide Grip),Shoulders,Compound,Bilateral,"Front Delts, Side Delts",Triceps,Upper Chest,,2,24-48 hours,High,Very Stable,Excellent,Excellent,No,Balanced,Machine,No,Low,2-3 minutes,Allows pushing closer to failure safely,,
Machine Overhead Press (Narrow Grip),Shoulders,Compound,Bilateral,Front Delts,Triceps,Upper Chest,,2,24-48 hours,High,Very Stable,Excellent,Excellent,No,Balanced,Machine,No,Low,2-3 minutes,Allows pushing closer to failure safely,,
Banded Seated Overhead Press,Shoulders,Compound,Bilateral,Front Delts,"Side Delts, Triceps",Upper Chest,,1,24-48 hours,Low,Moderate,Moderate,Average,No,Balanced,Resistance Band,No,Low,2-3 minutes,,,
Banded Upright Row,Shoulders,Compound,Bilateral,Side Delts,Upper Traps,Front Delts,,1,24-48 hours,Low,Moderate,Moderate,Average,No,Shortened Bias,Resistance Band,No,Low,2-3 minutes,,,
Standing Dumbbell Front Raise,Shoulders,Isolation,Bilateral,Front Delts,Upper Chest,,,1,24-48 hours,Moderate,Moderate,High,Good,No,Shortened Bias,Free Weight,No,Low,2-3 minutes,,,
