Exercise Name,Home Category,Exercise Type,Laterality,Primary Muscles (1.00),Secondary Muscles (0.50),Tertiary Muscles (0.25),Quaternary Muscles (0.125),Fatigue Score,Estimated Recovery Window,Progressive Overload Potential,Stability,Hypertrophy Potential,Stimulus-to-Fatigue Ratio (SFR),Stretch-Mediated Hypertrophy,Resistance Profile,Stability Requirement,Axial Loading,Skill Requirement,Recommended Rest Time,Notes
"TRX Row, Neutral Grip",Back,Compound,Bilateral,"Lats, Rhomboids","Biceps, Upper Traps","Rear Delts, Rectus Abdominis",,2,24-48 hours,Low,Moderate,Moderate,Good,No,Balanced,Bodyweight,No,Low,2-3 minutes,
"TRX Row, Underhand Grip",Back,Compound,Bilateral,Lats,"Biceps, Rhomboids","Upper Traps, Rectus Abdominis",,2,24-48 hours,Low,Moderate,Moderate,Good,No,Balanced,Bodyweight,No,Low,2-3 minutes,
"TRX Row, Overhand Grip",Back,Compound,Bilateral,"Rhomboids, Upper Traps","Rear Delts, Lats","Biceps, Rectus Abdominis",,2,24-48 hours,Low,Moderate,Moderate,Good,No,Balanced,Bodyweight,No,Low,2-3 minutes,
Bent Over Row With Bands,Back,Compound,Bilateral,"Lats, Rhomboids","Biceps, Upper Traps",Spinal Erectors,,1,24-48 hours,Low,Moderate,Low,Average,No,Balanced,Resistance Band,No,Low,2-3 minutes,
Seated Row With Bands,Back,Compound,Bilateral,"Lats, Rhomboids","Biceps, Upper Traps",,,1,24-48 hours,Low,Moderate,Low,Average,No,Balanced,Resistance Band,No,Low,2-3 minutes,
"Bent Over Barbell Row, Underhand Grip",Back,Compound,Bilateral,Lats,"Biceps, Rhomboids","Upper Traps, Spinal Erectors",,3,48-72 hours,Very High,Unstable,High,Average,No,Shortened Bias,Free Weight,No,High,3.5-5 minutes,High axial loading
T-Bar Row,Back,Compound,Bilateral,"Lats, Rhomboids","Upper Traps, Rear Delts","Biceps, Spinal Erectors",,3,48-72 hours,Very High,Unstable,Excellent,Average,Partial,Shortened Bias,Free Weight,No,Moderate,3.5-5 minutes,High mechanical tension
"Bent Over Dumbbell Row, Overhand Grip",Back,Compound,Bilateral,"Rhomboids, Lats","Upper Traps, Rear Delts","Biceps, Spinal Erectors",,3,48-72 hours,High,Unstable,High,Good,No,Shortened Bias,Free Weight,No,Moderate,3.5-5 minutes,
"Bent Over Dumbbell Row, Neutral Grip",Back,Compound,Bilateral,"Lats, Rhomboids","Biceps, Upper Traps",Spinal Erectors,,3,48-72 hours,High,Unstable,High,Good,No,Shortened Bias,Free Weight,No,Moderate,3.5-5 minutes,
Kettlebell Bent Over Row,Back,Compound,Bilateral,"Lats, Rhomboids","Biceps, Upper Traps",Spinal Erectors,,3,48-72 hours,Moderate,Unstable,High,Good,No,Shortened Bias,Free Weight,No,Moderate,3.5-5 minutes,
